char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,class,plate_no_length,similar_digits,sepcial_date,saudi_tribes,One Digit,Two Digits (Same),Two Digits (Different),Three Digits (Same),Three Digits (Different),Four Digits (Same),Four Digits (Different),emergency_no,in_order,reversed_order,same_middles_no,plaindromic_no,same_first_last_no,same_two_sides,one_digit_zero,one_digit_one,one_digit_two,one_digit_three,one_digit_four,one_digit_five,one_digit_six,one_digit_seven,one_digit_eight,one_digit_nine,is_triple_letters,is_one_letters,First_Third_Match,is_sequence,Contains_Tribe,contains_special_words,contains_special_cars,connect_12,connect_23,combined_word,word_freq_score,first_name_rank,result
أ أ أ,A A A,أ,أ,أ,A,A,A,1,50000,,1,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,48,300000,,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,909,23000,,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,2037,10000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,2116,8000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,2387,4500,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,3309,13000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,3854,8500,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,4144,20000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,5023,6000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,5561,9000,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
أ أ أ,A A A,أ,أ,أ,A,A,A,5630,6000,,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,أأأ,25.927523727351165,0.0,True
