,first_name,first_name_rank
52,أبو,100.0
1770,على,99.92559523809523
1661,عبد,99.85119047619048
670,حسن,99.77678571428571
146,أم,99.70238095238095
1777,عمر,99.62797619047619
1241,سعد,99.55357142857143
270,بدر,99.47916666666666
709,حمد,99.40476190476191
335,بن,99.33035714285714
2611,نور,99.25595238095238
2861,ىحى,99.18154761904762
1104,رىم,99.10714285714286
155,أمل,99.03273809523809
1324,سىد,98.95833333333334
2439,مهأ,98.88392857142857
164,أنس,98.80952380952381
2761,ود,98.73511904761905
1807,عىد,98.66071428571429
81,أدم,98.58630952380952
1625,طه,98.51190476190477
162,أنأ,98.4375
2435,منى,98.36309523809523
1529,صقر,98.28869047619048
2537,ندى,98.21428571428571
2703,همس,98.13988095238095
121,أل,98.06547619047619
1278,سمر,97.99107142857143
2674,هدى,97.91666666666666
2709,هند,97.84226190476191
316,بكر,97.76785714285714
349,بو,97.69345238095238
1034,رعد,97.61904761904762
1213,سحر,97.54464285714286
2555,نصر,97.47023809523809
699,حلأ,97.39583333333334
2804,ولد,97.32142857142857
1062,رنأ,97.24702380952381
2790,وعد,97.17261904761905
2462,مى,97.09821428571429
261,بحر,97.02380952380952
2126,كرم,96.94940476190477
2474,مىم,96.875
2422,من,96.80059523809523
1690,عدى,96.72619047619048
2264,لمى,96.65178571428571
680,حصه,96.57738095238095
1734,عطر,96.50297619047619
2046,قصى,96.42857142857143
2657,هبه,96.35416666666666
1289,سند,96.27976190476191
1284,سمو,96.20535714285714
330,بله,96.13095238095238
2723,هىأ,96.05654761904762
2769,ورد,95.98214285714286
702,حلم,95.90773809523809
2710,هنو,95.83333333333334
730,حور,95.75892857142857
1518,صعب,95.68452380952381
2190,لأ,95.61011904761905
2602,نهى,95.53571428571429
2619,نون,95.46130952380952
1795,عهد,95.38690476190477
1274,سمأ,95.3125
1758,علأ,95.23809523809523
1183,سأم,95.16369047619048
2585,نمر,95.08928571428571
2386,مطر,95.01488095238095
2301,لىن,94.94047619047619
94,أسد,94.86607142857143
2080,قىس,94.79166666666666
2154,كلى,94.71726190476191
50,أبن,94.64285714285714
2250,لله,94.56845238095238
2434,منو,94.49404761904762
2341,محب,94.41964285714286
2845,ىأ,94.34523809523809
1633,طىب,94.27083333333334
2348,محى,94.19642857142857
2609,نوح,94.12202380952381
2145,كل,94.04761904761905
724,حنو,93.97321428571429
2402,مكى,93.89880952380952
1733,عطأ,93.82440476190477
2165,كنق,93.75
717,حمو,93.67559523809523
2309,مأ,93.60119047619048
629,حبى,93.52678571428571
2406,ملك,93.45238095238095
2413,مم,93.37797619047619
1303,سهم,93.30357142857143
144,ألو,93.22916666666666
2783,وسن,93.15476190476191
197,أىه,93.08035714285714
2810,ولى,93.00595238095238
2433,منه,92.93154761904762
2454,موس,92.85714285714286
2218,لحن,92.78273809523809
1306,سو,92.70833333333334
986,ربى,92.63392857142857
1811,عىن,92.55952380952381
282,برق,92.48511904761905
2460,مون,92.41071428571429
1224,سر,92.33630952380952
1305,سهى,92.26190476190477
2470,مىس,92.1875
39,أب,92.11309523809523
122,ألأ,92.03869047619048
2508,نبع,91.96428571428571
1766,علم,91.88988095238095
1063,رند,91.81547619047619
1302,سهل,91.74107142857143
2869,ىس,91.66666666666666
1510,صدى,91.59226190476191
2345,محم,91.51785714285714
2240,لك,91.44345238095238
2536,ندو,91.36904761904762
1490,صبأ,91.29464285714286
2392,معن,91.22023809523809
2531,ندأ,91.14583333333334
2400,مكه,91.07142857142857
2604,نو,90.99702380952381
2093,كأن,90.92261904761905
1301,سهر,90.84821428571429
1804,عون,90.77380952380952
2376,مسك,90.69940476190477
846,درب,90.625
1311,سوس,90.55059523809523
1687,عدن,90.47619047619048
874,دل,90.40178571428571
1741,عع,90.32738095238095
1773,عم,90.25297619047619
2273,لو,90.17857142857143
322,بلأ,90.10416666666666
160,أمى,90.02976190476191
2731,هىم,89.95535714285714
2418,ممم,89.88095238095238
171,أه,89.80654761904762
2600,نهر,89.65773809523809
2289,لى,89.65773809523809
2827,وهم,89.65773809523809
141,ألم,89.50892857142857
145,ألى,89.43452380952381
1271,سلى,89.36011904761905
290,بسم,89.28571428571429
361,بى,89.21130952380952
352,بوح,89.13690476190477
2275,لود,89.0625
1808,عىس,88.98809523809523
1696,عرب,88.91369047619048
920,دىم,88.83928571428571
2299,لىل,88.76488095238095
653,حرب,88.69047619047619
2339,مح,88.61607142857143
2342,محد,88.54166666666666
2448,مو,88.46726190476191
303,بطه,88.35565476190477
161,أن,88.35565476190477
835,دح,88.24404761904762
621,حأن,88.16964285714286
666,حسب,88.09523809523809
2547,نسر,88.02083333333334
1786,عن,87.94642857142857
712,حمص,87.87202380952381
2490,نأ,87.79761904761905
2889,ىمن,87.72321428571429
306,بعد,87.61160714285714
2650,هأى,87.61160714285714
2895,ىو,87.5
1066,رنو,87.42559523809523
2282,لول,87.31398809523809
53,أبى,87.31398809523809
183,أى,87.20238095238095
1666,عبق,87.12797619047619
345,بنى,87.05357142857143
704,حلو,86.97916666666666
198,أىو,86.90476190476191
2429,منص,86.83035714285714
2588,نن,86.71875
40,أبأ,86.71875
2255,لمأ,86.60714285714286
1174,سأ,86.53273809523809
