,char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
0,ع س ل,LSE,ع,س,ل,E,S,L,55.0,10000
1,ع م ر,RZE,ع,م,ر,E,Z,R,505.0,12300
2,ق ح ط,TJG,ق,ح,ط,G,J,T,55.0,22000
3,ر ع ب,BER,ر,ع,ب,R,E,B,252.0,12000
4,ن س هـ,HSN,ن,س,هـ,N,S,H,35.0,14000
5,ص ق ر,RGX,ص,ق,ر,X,G,R,40.0,18000
6,ر و ن,NUR,ر,و,ن,R,U,N,77.0,19000
7,ر ع ب,BER,ر,ع,ب,R,E,B,11.0,18500
8,ط ل و,ULT,ط,ل,و,T,L,U,444.0,14000
9,د ل ع,ELD,د,ل,ع,D,L,E,4444.0,14000
10,س ن د,DNS,س,ن,د,S,N,D,44.0,15500
11,ر ع ب,BER,ر,ع,ب,R,E,B,5555.0,16500
12,ق م ر,RZG,ق,م,ر,G,Z,R,111.0,15000
13,ح و ر,RUJ,ح,و,ر,J,U,R,10.0,11000
14,ن و ح,JUN,ن,و,ح,N,U,J,44.0,18000
15,ح ر م,ZRJ,ح,ر,م,J,R,Z,1111.0,16500
16,و ر د,DRU,و,ر,د,U,R,D,111.0,15000
17,ى ى ى,VVV,ى,ى,ى,V,V,V,999.0,15000
18,س س س,SSS,س,س,س,S,S,S,33.0,18000
19,ق م ر,RZG,ق,م,ر,G,Z,R,888.0,14000
20,ح ر م,ZRJ,ح,ر,م,J,R,Z,80.0,18000
21,م ل ك,KLZ,م,ل,ك,Z,L,K,999.0,15500
22,ح ل أ,ALJ,ح,ل,أ,J,L,A,333.0,15000
23,ق م ر,RZG,ق,م,ر,G,Z,R,22.0,20000
24,ع س ل,LSE,ع,س,ل,E,S,L,7.0,20000
25,أ أ أ,AAA,أ,أ,أ,A,A,A,1.0,50000
26,و أ و,UAU,و,أ,و,U,A,U,10.0,10000
27,ل ل ل,LLL,ل,ل,ل,L,L,L,7.0,17000
28,س س س,SSS,س,س,س,S,S,S,1.0,50000
29,ق م ر,RZG,ق,م,ر,G,Z,R,22.0,15000
30,ط و ر,RUT,ط,و,ر,T,U,R,88.0,11000
31,س ك ر,RKS,س,ك,ر,S,K,R,588.0,7000
32,ن س ر,RSN,ن,س,ر,N,S,R,959.0,14000
33,ن ل و,ULN,ن,ل,و,N,L,U,52.0,13000
34,م ح س,SJZ,م,ح,س,Z,J,S,800.0,14500
35,ح ل و,ULJ,ح,ل,و,J,L,U,2242.0,4500
36,ح و د,DUJ,ح,و,د,J,U,D,5272.0,1000
37,ك ر م,ZRK,ك,ر,م,K,R,Z,60.0,19500
38,ن س ر,RSN,ن,س,ر,N,S,R,44.0,20000
39,ر ر ر,RRR,ر,ر,ر,R,R,R,6.0,30000
40,ك ر م,ZRK,ك,ر,م,K,R,Z,222.0,12500
