"ribbon","numberofbids","plateNumber","plateNumberAr","plateNumber 2","plateNumberEn","highestBidAmount","sortAmount","sortIndex"
"ذهبي","6","٢","د د و","2","U D D","80,000.00","80000","0"
"ذهبي","3","٤","ن م ا","4","A Z N","65,000.00","65000","3"
"برونزي","32","١۰","د هـ م","10","Z H D","25,000.00","25000","5"
"برونزي","33","٤٦","ع ل م","46","Z L E","26,000.00","26000","10"
"فضي","3","۸۸","ق م ح","88","J Z G","26,000.00","26000","12"
"برونزي","18","١۰۰۰","ر و ر","1000","R U R","14,000.00","14000","15"
"فضي","9","١١١١","ر هـ ى","1111","V H R","19,000.00","19000","17"
"برونزي","12","٢۰۰۰","ر و ب","2000","B U R","7,000.00","7000","18"
"فضي","5","٢٢٢٢","ر و ا","2222","A U R","15,000.00","15000","20"
"برونزي","8","۳۰۰۰","ر ن ص","3000","X N R","5,000.00","5000","21"
"فضي","3","۳۳۳۳","ر ن ل","3333","L N R","13,000.00","13000","22"
"برونزي","6","۳٦١٦","د د د","3616","D D D","4,000.00","4000","23"
"برونزي","5","۳٦٢١","د د د","3621","D D D","3,500.00","3500","24"
"برونزي","5","۳٦٢٥","د د د","3625","D D D","3,500.00","3500","25"
"برونزي","10","٤۰۰۰","ر هـ ع","4000","E H R","6,000.00","6000","26"
"فضي","4","٤٤٤٤","ر و ص","4444","X U R","14,000.00","14000","27"
"برونزي","6","٤۷۰١","ب ب ب","4701","B B B","4,000.00","4000","28"
"برونزي","4","٤۷٢٦","ب ب ب","4726","B B B","3,000.00","3000","29"
"برونزي","5","٤۷٢۸","ب ب ب","4728","B B B","3,500.00","3500","30"
"برونزي","16","٥۰۰۰","ر و د","5000","D U R","9,000.00","9000","31"
"فضي","3","٥٥٥٥","ر ص ب","5555","B X R","13,000.00","13000","32"
"برونزي","12","٦۰۰۰","ر ن ن","6000","N N R","10,000.00","10000","34"
"برونزي","5","٦٥۰٤","ح ح ح","6504","J J J","3,500.00","3500","35"
"برونزي","5","٦٥١۳","ح ح ح","6513","J J J","3,500.00","3500","36"
"برونزي","3","٦٥٢۰","ح ح ح","6520","J J J","3,000.00","3000","37"
"فضي","5","٦٦٦٦","ر ل ك","6666","K L R","15,000.00","15000","39"
"برونزي","12","۷۰۰۰","ر هـ ا","7000","A H R","10,000.00","10000","40"
"برونزي","4","۷٥٤٤","ا ا ا","7544","A A A","9,000.00","9000","41"
"برونزي","5","۷٥٤٦","ا ا ا","7546","A A A","3,500.00","3500","42"
"برونزي","15","۷٥٥۰","ا ا ا","7550","A A A","9,000.00","9000","43"
"فضي","4","۷۷۷۷","ر هـ ص","7777","X H R","14,000.00","14000","44"
"برونزي","14","۸۰۰۰","ر هـ م","8000","Z H R","9,500.00","9500","46"
"فضي","4","۸۸۸۸","ر ك ق","8888","G K R","14,000.00","14000","47"
"برونزي","7","۹۰۰۰","ر ب هـ","9000","H B R","7,000.00","7000","48"
"فضي","8","۹۹۹۹","ر م ك","9999","K Z R","18,000.00","17000","49"
