char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ا   س   د,D   S   A,ا,س,د,A,S,D,4341,1
ل   ع   ب,B   E   L,ل,ع,ب,L,E,B,717,18000
ه   ى   م,Z   V   H,ه,ى,م,H,V,Z,290,16500
ن   ن   ن,N   N   N,ن,ن,ن,N,N,N,408,35000
ط   ل   ط,T   L   T,ط,ل,ط,T,L,T,97,18500
ب   ب   ب,B   B   B,ب,ب,ب,B,B,B,3008,15000
و   م   ى,V   Z   U,و,م,ى,U,Z,V,23,1
ى   و   ق,G   U   V,ى,و,ق,V,U,G,318,3000
ى   ن   س,S   N   V,ى,ن,س,V,N,S,327,2000
ر   م   ه,H   Z   R,ر,م,ه,R,Z,H,2777,3500
و   ر   ل,L   R   U,و,ر,ل,U,R,L,320,30000
ب   ل   ل,L   L   B,ب,ل,ل,B,L,L,454,1
س   و   ن,N   U   S,س,و,ن,S,U,N,912,1
و   ح   ع,E   J   U,و,ح,ع,U,J,E,45,12000
س   د   ا,A   D   S,س,د,ا,S,D,A,800,12000
ه   و   ى,V   U   H,ه,و,ى,H,U,V,454,8000
ل   ر   ن,N   R   L,ل,ر,ن,L,R,N,69,20000
ق   ن   ا,A   N   G,ق,ن,ا,G,N,A,625,8000
د   ح   م,Z   J   D,د,ح,م,D,J,Z,4239,1000
د   د   د,D   D   D,د,د,د,D,D,D,2552,1
د   ص   ع,E   X   D,د,ص,ع,D,X,E,4444,100
ح   ى   ا,A   V   J,ح,ى,ا,J,V,A,2013,25000
س   ه   ب,B   H   S,س,ه,ب,S,H,B,323,1
و   ص   د,D   X   U,و,ص,د,U,X,D,656,1
و   ا   و,U   A   U,و,ا,و,U,A,U,10,10000
ك   ن   ى,V   N   K,ك,ن,ى,K,N,V,7,70000
و   ى   ى,V   V   U,و,ى,ى,U,V,V,18,9500
ع   ل   د,D   L   E,ع,ل,د,E,L,D,616,6000
ب   ب   ل,L   B   B,ب,ب,ل,B,B,L,7999,20000
م   و   ن,N   U   Z,م,و,ن,Z,U,N,113,18500
ق   ق   ع,E   G   G,ق,ق,ع,G,G,E,90,22500
ق   م   ر,R   Z   G,ق,م,ر,G,Z,R,406,30000
ح   م   د,D   Z   J,ح,م,د,J,Z,D,4616,10000
و   ب   ص,X   B   U,و,ب,ص,U,B,X,54,15000
ص   م   ن,N   Z   X,ص,م,ن,X,Z,N,333,30000
م   ب   ل,L   B   Z,م,ب,ل,Z,B,L,63,30000
ح   ر   ا,A   R   J,ح,ر,ا,J,R,A,460,1
س   م   ح,J   Z   S,س,م,ح,S,Z,J,0,500
ق   ل   ل,L   L   G,ق,ل,ل,G,L,L,555,25000
ا   ه   ه,H   H   A,ا,ه,ه,A,H,H,502,9000
ق   د   ب,B   D   G,ق,د,ب,G,D,B,607,9000
ى   ح   ب,B   J   V,ى,ح,ب,V,J,B,821,50000
س   ع   د,D   E   S,س,ع,د,S,E,D,3294,5000
ل   ل   ب,B   L   L,ل,ل,ب,L,L,B,36,1
ه   ب   ه,H   B   H,ه,ب,ه,H,B,H,953,15000
ه   ب   ه,H   B   H,ه,ب,ه,H,B,H,953,15000
س   م   ر,R   Z   S,س,م,ر,S,Z,R,59,49000
ى   ى   ع,E   V   V,ى,ى,ع,V,V,E,99,34000
ا   ن   ق,G   N   A,ا,ن,ق,A,N,G,5550,3000
و   س   ب,B   S   U,و,س,ب,U,S,B,171,6000
ق   ن   ق,G   N   G,ق,ن,ق,G,N,G,225,7000
ق   ط   ر,R   T   G,ق,ط,ر,G,T,R,582,15000
م   ى   ى,V   V   Z,م,ى,ى,Z,V,V,224,20000
ه   ه   ق,G   H   H,ه,ه,ق,H,H,G,37,23000
م   ل   ح,J   L   Z,م,ل,ح,Z,L,J,472,12000
ح   م   ر,R   Z   J,ح,م,ر,J,Z,R,35,35000
م   ب   ص,X   B   Z,م,ب,ص,Z,B,X,13,14000
ه   ن   و,U   N   H,ه,ن,و,H,N,U,512,4300
ح   ط   ط,T   T   J,ح,ط,ط,J,T,T,1600,1
د   ط   ن,N   T   D,د,ط,ن,D,T,N,9999,80
د   د   ك,K   D   D,د,د,ك,D,D,K,2221,1
ب   ى   م,Z   V   B,ب,ى,م,B,V,Z,2060,5000
ن   ه   ك,K   H   N,ن,ه,ك,N,H,K,220,7000
ا   ا   ط,T   A   A,ا,ا,ط,A,A,T,8882,30000
ق   ح   ط,T   J   G,ق,ح,ط,G,J,T,980,26000
م   ى   ى,V   V   Z,م,ى,ى,Z,V,V,47,36000
ق   ق   م,Z   G   G,ق,ق,م,G,G,Z,98,18500
ن   ق   ر,R   G   N,ن,ق,ر,N,G,R,231,5000
ب   ح   ر,R   J   B,ب,ح,ر,B,J,R,5888,1
