char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price,class
د ب س,S B D,د,ب,س,D,B,S,1,500000,
س ن ص,X N S,س,ن,ص,S,N,X,10,17000,
ق ح ل,L J G,ق,ح,ل,G,J,L,40,12500,
ل ب ل,L B L,ل,ب,ل,L,B,L,91,12500,
أ أ أ,A A A,أ,أ,أ,A,A,A,2116,8000,
ق ب ح,J B G,ق,ب,ح,G,B,J,111,18000,
ق ن ن,N N G,ق,ن,ن,G,N,N,43,11500,
ب ن ل,L N B,ب,ن,ل,B,N,L,54,8000,
م ح أ,A J Z,م,ح,أ,Z,J,A,300,8000,
و ن ح,J N U,و,ن,ح,U,N,J,80,10500,
ي و ي,V U V,ي,و,ي,V,U,V,220,6500,
ق ط ر,R T G,ق,ط,ر,G,T,R,326,6000,
ن م د,D Z N,ن,م,د,N,Z,D,96,8500,
ه أ أ,A A H,ه,أ,أ,H,A,A,221,6500,
ي م د,D Z V,ي,م,د,V,Z,D,500,7800,
ل أ ن,N A L,ل,أ,ن,L,A,N,29,11000,
م ط ر,R T Z,م,ط,ر,Z,T,R,937,5000,
ه و ح,J U H,ه,و,ح,H,U,J,757,4500,
ح ر م,Z R J,ح,ر,م,J,R,Z,8040,5000,
ح ن ه,H N J,ح,ن,ه,J,N,H,9599,3000,
ل و س,S U L,ل,و,س,L,U,S,206,4500,
ب د ر,R D B,ب,د,ر,B,D,R,5355,13000,
أ د ب,B D A,أ,د,ب,A,D,B,2442,6000,
ر ح ب,B J R,ر,ح,ب,R,J,B,334,3000,
ر ن د,D N R,ر,ن,د,R,N,D,4559,3000,
د د و,U D D,د,د,و,D,D,U,8,90500,
ر ب د,D B R,ر,ب,د,R,B,D,5555,19500,
ل و ك,K U L,ل,و,ك,L,U,K,60,20000,
و ك أ,A K U,و,ك,أ,U,K,A,837,3000,
أ س د,D S A,أ,س,د,A,S,D,423,15400,
ر ق و,U G R,ر,ق,و,R,G,U,9495,1500,
ح ر ب,B R J,ح,ر,ب,J,R,B,3568,4500,
ع ب ه,H B E,ع,ب,ه,E,B,H,4,60000,
ه ع ر,R E H,ه,ع,ر,H,E,R,7,53500,
ع م ي,V Z E,ع,م,ي,E,Z,V,33,50000,
ب ه ع,E H B,ب,ه,ع,B,H,E,44,22000,
ن ص م,Z X N,ن,ص,م,N,X,Z,55,23000,
ص ط ص,X T X,ص,ط,ص,X,T,X,66,30000,
ب ك د,D K B,ب,ك,د,B,K,D,222,22000,
ط ك ح,J K T,ط,ك,ح,T,K,J,333,22000,
س ب ن,N B S,س,ب,ن,S,B,N,999,35000,
ي أ د,D A V,ي,أ,د,V,A,D,68,38000,
ي ع ر,R E V,ي,ع,ر,V,E,R,45,12000,
س س د,D S S,س,س,د,S,S,D,69,25000,
ي ص د,D X V,ي,ص,د,V,X,D,38,11000,
ر ي ن,N V R,ر,ي,ن,R,V,N,20,42500,
ق ي ي,V V G,ق,ي,ي,G,V,V,56,18000,
ن د ق,G D N,ن,د,ق,N,D,G,34,11500,
ن ه ر,R H N,ن,ه,ر,N,H,R,80,60000,
ه ق د,D G H,ه,ق,د,H,G,D,60,16000,
ه م ص,X Z H,ه,م,ص,H,Z,X,67,8900,
م ر د,D R Z,م,ر,د,Z,R,D,377,5000,
م ي م,Z V Z,م,ي,م,Z,V,Z,622,15500,
ي ق ح,J G V,ي,ق,ح,V,G,J,911,20000,
أ س د,D S A,أ,س,د,A,S,D,4449,17500,
د و أ,A U D,د,و,أ,D,U,A,5000,15000,
أ د ق,G D A,أ,د,ق,A,D,G,8000,17000,
ق ي ص,X V G,ق,ي,ص,G,V,X,565,6000,
ص ص ي,V X X,ص,ص,ي,X,X,V,730,7000,
ي ط س,S T V,ي,ط,س,V,T,S,705,4000,
ص ب أ,A B X,ص,ب,أ,X,B,A,181,45000,
أ ح ب,B J A,أ,ح,ب,A,J,B,156,11000,
د د د,D D D,د,د,د,D,D,D,6864,12000,
ح م د,D Z J,ح,م,د,J,Z,D,6472,4000,
د و ن,N U D,د,و,ن,D,U,N,4752,1000,
ب ي م,Z V B,ب,ي,م,B,V,Z,4321,23700,
ر ع د,D E R,ر,ع,د,R,E,D,5955,12000,
د ع و,U E D,د,ع,و,D,E,U,8959,1000,
د ع د,D E D,د,ع,د,D,E,D,3553,4000,
أ ح ب,B J A,أ,ح,ب,A,J,B,1225,4900,
د د و,U D D,د,د,و,D,D,U,2,80000,ذهبي
ن م ا,A Z N,ن,م,ا,N,Z,A,4,65000,ذهبي
د هـ م,Z H D,د,هـ,م,D,H,Z,10,25000,برونزي
ع ل م,Z L E,ع,ل,م,E,L,Z,46,26000,برونزي
ق م ح,J Z G,ق,م,ح,G,Z,J,88,26000,فضي
ر و ر,R U R,ر,و,ر,R,U,R,1000,14000,برونزي
ر هـ ى,V H R,ر,هـ,ى,R,H,V,1111,19000,فضي
ر و ب,B U R,ر,و,ب,R,U,B,2000,7000,برونزي
ر و ا,A U R,ر,و,ا,R,U,A,2222,15000,فضي
ر ن ص,X N R,ر,ن,ص,R,N,X,3000,5000,برونزي
ر ن ل,L N R,ر,ن,ل,R,N,L,3333,13000,فضي
د د د,D D D,د,د,د,D,D,D,3616,4000,برونزي
د د د,D D D,د,د,د,D,D,D,3621,3500,برونزي
د د د,D D D,د,د,د,D,D,D,3625,3500,برونزي
ر هـ ع,E H R,ر,هـ,ع,R,H,E,4000,6000,برونزي
ر و ص,X U R,ر,و,ص,R,U,X,4444,14000,فضي
ب ب ب,B B B,ب,ب,ب,B,B,B,4701,4000,برونزي
ب ب ب,B B B,ب,ب,ب,B,B,B,4726,3000,برونزي
ب ب ب,B B B,ب,ب,ب,B,B,B,4728,3500,برونزي
ر و د,D U R,ر,و,د,R,U,D,5000,9000,برونزي
ر ص ب,B X R,ر,ص,ب,R,X,B,5555,13000,فضي
ر ن ن,N N R,ر,ن,ن,R,N,N,6000,10000,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6504,3500,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6513,3500,برونزي
ح ح ح,J J J,ح,ح,ح,J,J,J,6520,3000,برونزي
ر ل ك,K L R,ر,ل,ك,R,L,K,6666,15000,فضي
ر هـ ا,A H R,ر,هـ,ا,R,H,A,7000,10000,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7544,9000,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7546,3500,برونزي
ا ا ا,A A A,ا,ا,ا,A,A,A,7550,9000,برونزي
ر هـ ص,X H R,ر,هـ,ص,R,H,X,7777,14000,فضي
ر هـ م,Z H R,ر,هـ,م,R,H,Z,8000,9500,برونزي
ر ك ق,G K R,ر,ك,ق,R,K,G,8888,14000,فضي
