"chakra-text 4","chakra-text 5","chakra-text 6","chakra-text 7","chakra-text 8","chakra-text 9","chakra-text 10","chakra-text 14","chakra-text 16"
"د","ط","و","D","T","U","10","2025-03-17","19500"
"م","ل","ح","Z","L","J","472","2025-03-17","على السوم"
"ق","ح","ط","G","J","T","980","2025-03-17","24500"
"ل","و","ل","L","U","L","708","2025-03-17","23000"
"هـ","ى","م","H","V","Z","290","2025-03-17","15000"
"ق","م","ر","G","Z","R","540","2025-03-17","32000"
"هـ","د","د","H","D","D","408","2025-03-17","على السوم"
"ر","هـ","ل","R","H","L","1239","2025-03-17","5000"
"ر","ص","هـ","R","X","H","222","2025-03-17","على السوم"
"ح","ع","ح","J","E","J","555","2025-03-17","على السوم"
"ر","ط","د","R","T","D","6737","2025-03-17","على السوم"
"ل","ل","ط","L","L","T","11","2025-03-17","على السوم"
"هـ","ل","ى","H","L","V","665","2025-03-17","10000"
"ق","ر","م","G","R","Z","966","2025-03-17","50000"
"ع","ل","س","E","L","S","815","2025-03-17","على السوم"
"س","ب","ع","S","B","E","8381","2025-03-17","12000"
"ب","ح","م","B","J","Z","3399","2025-03-17","على السوم"
"ح","ل","أ","J","L","A","6424","2025-03-17","على السوم"
"ر","ص","س","R","X","S","9699","2025-03-17","على السوم"
"و","ل","ى","U","L","V","644","2025-03-17","على السوم"
"ط","ك","ص","T","K","X","1","2025-03-17","320000"
"ص","ع","ى","X","E","V","111","2025-03-17","35000"
"ر","ك","ن","R","K","N","992","2025-03-17","22000"
"ع","ن","د","E","N","D","82","2025-03-17","على السوم"
"ع","م","ر","E","Z","R","569","2025-03-17","على السوم"
"ن","ن","ن","N","N","N","191","2025-03-17","على السوم"
"ع","ن","د","E","N","D","858","2025-03-17","على السوم"
"م","ح","ق","Z","J","G","9","2025-03-17","على السوم"
"م","د","ع","Z","D","E","6","2025-03-17","على السوم"
"ك","ى","ى","K","V","V","444","2025-03-17","على السوم"
"د","ل","ق","D","L","G","73","2025-03-17","12000"
"ل","م","و","L","Z","U","66","2025-03-17","66000"
"د","ل","و","D","L","U","67","2025-03-17","28000"
"ن","م","س","N","Z","S","9","2025-03-17","135000"
"هـ","د","ى","H","D","V","505","2025-03-17","70000"
"ص","ل","م","X","L","Z","9","2025-03-17","73000"
"س","س","هـ","S","S","H","55","2025-03-17","42000"
"س","هـ","م","S","H","Z","700","2025-03-17","85000"
"س","ح","ر","S","J","R","0","2025-03-17","400000"
"ى","ع","أ","V","E","A","57","2025-03-17","10000"
