char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9777,6500
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9888,6500
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9666,6500
ر أ ن,N A R,ر,أ,ن,R,A,N,3,35000
هـ ر ب,B R H,هـ,ر,ب,H,R,B,22,50000
ر هـ م,Z H R,ر,هـ,م,R,H,Z,9966,6500
أ ر ب,B R A,أ,ر,ب,A,R,B,75,15500
ع ر ب,B R E,ع,ر,ب,E,R,B,167,12000
ر و ح,J U R,ر,و,ح,R,U,J,775,20000
ص ى ن,N V X,ص,ى,ن,X,V,N,11,55000
ح ر ب,B R J,ح,ر,ب,J,R,B,7159,5000
ب د ر,R D B,ب,د,ر,B,D,R,277,45000
ر أ س,S A R,ر,أ,س,R,A,S,1991,11000
أ م ل,L Z A,أ,م,ل,A,Z,L,2,85000
ح ط أ,A T J,ح,ط,أ,J,T,A,7770,6000
د ص ط,T X D,د,ص,ط,D,X,T,77,16000
د هـ د,D H D,د,هـ,د,D,H,D,7779,5000
ر م هـ,H Z R,ر,م,هـ,R,Z,H,4464,5000
س ل ط,T L S,س,ل,ط,S,L,T,377,22000
ى ق ل,L G V,ى,ق,ل,V,G,L,334,7000
ب د ر,R D B,ب,د,ر,B,D,R,6379,5500
م هـ م,Z H Z,م,هـ,م,Z,H,Z,966,100000
ر ع د,D E R,ر,ع,د,R,E,D,3327,10000
م ع ن,N E Z,م,ع,ن,Z,E,N,52,31000
ط ك ل,L K T,ط,ك,ل,T,K,L,444,20500
ك ك ك,K K K,ك,ك,ك,K,K,K,789,25000
ر ر س,S R R,ر,ر,س,R,R,S,7700,9000
ب د ل,L D B,ب,د,ل,B,D,L,89,30000
د ط د,D T D,د,ط,د,D,T,D,2,115000
هـ ن ص,X N H,هـ,ن,ص,H,N,X,55,30000
م ل ك,K L Z,م,ل,ك,Z,L,K,531,20000
ع و ن,N U E,ع,و,ن,E,U,N,570,20000
ر ر س,S R R,ر,ر,س,R,R,S,155,20000
أ ص ن,N X A,أ,ص,ن,A,X,N,9449,4000
س هـ و,U H S,س,هـ,و,S,H,U,501,22000
ر ق ل,L G R,ر,ق,ل,R,G,L,3322,2500
ى ص ح,J X V,ى,ص,ح,V,X,J,11,33000
ل ع و,U E L,ل,ع,و,L,E,U,35,10000
ن و ن,N U N,ن,و,ن,N,U,N,775,25000
ر هـ م,Z H R,ر,هـ,م,R,H,Z,5595,2500
ط ل ع,E L T,ط,ل,ع,T,L,E,990,15500
و د م,Z D U,و,د,م,U,D,Z,86,15000
هـ ك ر,R K H,هـ,ك,ر,H,K,R,500,45000
ح أ ر,R A J,ح,أ,ر,J,A,R,9966,9000
ع ل و,U L E,ع,ل,و,E,L,U,118,26000
أ أ ح,J A A,أ,أ,ح,A,A,J,5555,60000
ر ع د,D E R,ر,ع,د,R,E,D,8700,12000
ن د و,U D N,ن,د,و,N,D,U,460,12000
ك ح أ,A J K,ك,ح,أ,K,J,A,7,75000
ر ق ر,R G R,ر,ق,ر,R,G,R,12,22000
أ ب م,Z B A,أ,ب,م,A,B,Z,20,60000
س ى أ,A V S,س,ى,أ,S,V,A,555,25000
ى س ل,L S V,ى,س,ل,V,S,L,560,9000
ل ن ر,R N L,ل,ن,ر,L,N,R,10,37500
أ ع ط,T E A,أ,ع,ط,A,E,T,248,9000
ح ك ن,N K J,ح,ك,ن,J,K,N,111,40000
ص ل م,Z L X,ص,ل,م,X,L,Z,9,69000
ر ع أ,A E R,ر,ع,أ,R,E,A,99,40000
د و أ,A U D,د,و,أ,D,U,A,47,20000
د ع ل,L E D,د,ع,ل,D,E,L,7377,2000
هـ ل ن,N L H,هـ,ل,ن,H,L,N,880,6500
