"numberofbids","plateNumber","plateNumberAr","plateNumber 2","plateNumberEn","simply-amount 2","simply-amount 3","simply-amount 4","highestBidAmount","sortAmount","sortIndex"
"36","٢۰","ح ل ه","20","H L J","01","12","57","21,000.00","19500","0"
"24","۸","ع و ر","8","R U E","02","52","37","52,000.00","52000","1"
"16","۸٤","ي ن م","84","Z N V","02","37","48","8,000.00","9000","2"
"15","۸۰۰","س د أ","800","A D S","01","50","49","9,000.00","7000","3"
"14","٦٤٦٤","ح ل أ","6464","A L J","01","08","18","8,500.00","8500","4"
"12","٥٥٥","ب ر ي","555","V R B","01","41","35","16,500.00","16500","5"
"10","٤۹۹۹","ر ق م","4999","Z G R","01","19","06","6,500.00","5500","6"
"8","۹۸۸۰","ح ر ب","9880","B R J","01","58","55","8,000.00","8000","7"
"7","۷۷","س ق ق","77","G G S","01","39","28","27,000.00","24000","8"
"4","۳٦٦","و د ع","366","E D U","01","53","16","5,000.00","5000","9"
"4","۳۳۳۸","ح م ر","3338","R Z J","02","17","50","3,000.00","3000","10"
"4","٥٥٥٦","ح ن و","5556","U N J","01","19","52","8,500.00","8500","11"
"4","٥٥٤٤","ح و ي","5544","V U J","01","10","08","3,000.00","2500","12"
"3","٦۷","ه م ص","67","X Z H","12","46","36","4,000.00","7000","13"
"3","۹۹۹۳","ر ل ل","9993","L L R","01","33","16","3,500.00","3500","14"
"2","۷٦۷٦","ر ط ر","7676","R T R","01","45","29","13,000.00","3000","15"
"2","٦۳٢٤","أ س د","6324","D S A","02","59","02","7,000.00","3800","16"
"2","۹۹","ص ح ر","99","R J X","01","12","54","2,999.00","36000","17"
"2","١١۰","ك س ص","110","X S K","02","07","24","3,500.00","7500","18"
"2","٤٥٥٥","ب ع ن","4555","N E B","01","53","32","3,800.00","3000","19"
"2","۷۷۰۰","ر ص ي","7700","V X R","01","57","48","3,800.00","2500","20"
"1","۳٤۳","أ ح ب","343","B J A","01","15","55","36,000.00","15000","21"
"1","٥٤۷","م د ه","547","H D Z","01","16","21","7,500.00","2499","22"
"1","١۸٥","ن ي ل","185","L V N","01","25","16","15,000.00","3000","23"
"1","١۰۸","و ه ص","108","X H U","01","32","16","15,000.00","3000","24"
"1","٦١۷","س ه ل","617","L H S","03","11","25","3,000.00","9000","25"
"1","٦۸٦۸","ر ر ق","6868","G R R","01","09","26","9,000.00","3100","26"
"1","٤۸۸٢","ر ط ط","4882","T T R","01","12","44","3,100.00","1500","27"
"1","۸١۷۷","س ع د","8177","D E S","01","19","50","1,500.00","6500","28"
"1","۸٥۰۰","ح و ر","8500","R U J","03","02","48","1,500.00","6500","29"
"1","٢","م ك ع","2","E K Z","01","51","55","6,500.00","76000","30"
"1","۳۳","أ ر ص","33","X R A","01","16","56","6,500.00","20000","31"
"0","٤٤","أ د س","44","S D A","02","40","41","76,000.00","28000","32"
"0","٦٦","ص ح ر","66","R J X","02","16","02","20,000.00","35000","33"
"0","۷۷","ل و أ","77","A U L","01","10","56","28,000.00","190000","34"
"0","۳۳۳","س و و","333","U U S","01","43","04","35,000.00","30000","35"
"0","٥٥٥","ه د د","555","D D H","01","15","17","190,000.00","50000","36"
"0","۸۸۸","ي ط ه","888","H T V","02","43","01","30,000.00","21000","37"
"0","٤۹","ط أ ه","49","H A T","01","24","46","50,000.00","15000","38"
"0","۹۰","ك ص ر","90","R X K","01","25","26","21,000.00","12000","39"
"0","٦۹","م ه أ","69","A H Z","02","03","42","15,000.00","68000","40"
"0","۷٦","ه ل ه","76","H L H","02","19","18","68,000.00","23600","41"
"0","۸١","م م ن","81","N Z Z","02","21","52","23,600.00","25000","42"
"0","٢۸","ه ن د","28","D N H","02","24","51","25,000.00","49000","43"
"0","۷۳","م ن ي","73","V N Z","02","29","18","49,000.00","28000","44"
"0","٥۰","س ن د","50","D N S","02","48","36","28,000.00","125000","45"
"0","۳۸","ي ص د","38","D X V","03","12","38","125,000.00","11000","46"
"0","٤۰۰","ن ل ه","400","H L N","01","26","58","11,000.00","7000","47"
"0","٥۳۳","ق د أ","533","A D G","01","14","14","7,000.00","5000","48"
"0","۸٢٢","د ص ي","822","V X D","01","59","40","5,000.00","3000","49"
"0","۸۳۳","ل ح ن","833","N J L","02","45","36","3,000.00","10500","50"
"0","۹١١","ي ق ح","911","J G V","03","10","44","10,500.00","17500","51"
"0","٦٦٦۷","ر ل ك","6667","K L R","01","10","59","17,500.00","5000","52"
"0","٢۰۰۰","د ك ر","2000","R K D","01","37","33","5,000.00","13000","53"
"0","۳۰۰۰","ح س ك","3000","K S J","01","20","16","13,000.00","30000","54"
"0","۳۰۰۰","ر ن أ","3000","A N R","01","35","04","30,000.00","610000","55"
"0","٦۰۰۰","ب ي د","6000","D V B","02","05","57","610,000.00","10000","56"
"0","۹۰۰۰","ر أ ع","9000","E A R","02","08","44","10,000.00","14500","57"
"0","٢٢٦٦","د ق م","2266","Z G D","01","40","06","14,500.00","5000","58"
"0","۷١۷","س أ د","717","D A S","01","10","01","5,000.00","19000","59"
"0","١٥٢","ن ي و","152","U V N","01","16","22","19,000.00","10000","60"
"0","۳١٤","ب ر ق","314","G R B","02","29","28","10,000.00","9500","61"
"0","۷۰٥","ي ط س","705","S T V","03","42","26","9,500.00","3000","62"
"0","۸١۸۸","ب أ ك","8188","K A B","01","10","44","3,000.00","4500","63"
"0","۸۰۹۹","ر ط س","8099","S T R","01","11","36","4,500.00","1500","64"
"0","۳۹۸۹","ر أ ك","3989","K A R","01","12","40","1,500.00","1000","65"
"0","۹۷۹۸","ر ن أ","9798","A N R","01","14","17","8,500.00","8500","66"
"0","٢٦۷۸","د س د","2678","D S D","01","58","16","1,000.00","1000","67"
"0","٢۸۹۸","د م ع","2898","E Z D","02","23","57","5,000.00","5000","68"
"0","۳۸۹۹","ح ص ك","3899","K X J","02","54","14","1,000.00","1000","69"
