"numberofbids","plateNumber","plateNumberAr","plateNumber 2","plateNumberEn","sortAmount"
"3","١","و ي و","1","U V U","420000"
"22","۸۰۸۰","د ع س","8080","S E D","13000"
"16","۷","ه ع ر","7","R E H","49000"
"16","٥۳","ق س ل","53","L S G","9500"
"15","٥۰١١","س ع د","5011","D E S","8500"
"11","۸٢۰","ن س ر","820","R S N","6500"
"10","٥٥٥","ق د ص","555","X D G","15500"
"9","٢۸۸٢","ر ع ب","2882","B E R","9000"
"8","٦١١","ع ر ب","611","B R E","14000"
"8","٤۰۰٤","ر ر ط","4004","T R R","5000"
"8","۹٦۹٦","ح و ب","9696","B U J","5000"
"6","١٢۳٤","ر ع ع","1234","E E R","4000"
"5","١١٢١","ر ر ب","1121","B R R","3500"
"5","۷٢١۸","ر ن أ","7218","A N R","3500"
"4","٢١١١","ر ن ي","2111","V N R","3000"
"4","٦٦۷٦","د ل و","6676","U L D","5000"
"3","٥","ق أ ح","5","J A G","49000"
"3","۸۰","ط ي ن","80","N V T","15500"
"3","١١٤","ب ط ر","114","R T B","11500"
"3","٥٤۳","ك م ك","543","K Z K","5500"
"3","۹۰۹","و ه ر","909","R H U","7500"
"3","۳٦١۸","أ س د","3618","D S A","3700"
"3","٢۰۳۰","ب ن م","2030","Z N B","4000"
"3","۳۸۳٤","د ي م","3834","Z V D","4000"
"3","۷٤٤١","أ س د","7441","D S A","6400"
"2","۹۷۷۷","أ د ق","9777","G D A","3500"
"2","١۷۰٤","ح ل أ","1704","A L J","4500"
"2","٥۹٤۹","ر ك ن","5949","N K R","2500"
"1","٦","ع س ط","6","T S E","51000"
"1","۹۹۳","ط ن ر","993","R N T","6000"
"1","٥٥٥٤","ح ل ي","5554","V L J","6000"
"1","٦٦٦۷","ر ل ك","6667","K L R","4000"
"1","١١۸۸","د د ر","1188","R D D","3300"
"1","۸۸٥٥","د م ع","8855","E Z D","5400"
"1","۸۸۹۹","ر ل ق","8899","G L R","4000"
"1","١٤١۸","ر د ه","1418","H D R","1500"
"1","٢۰١۸","ب و س","2018","S U B","5500"
"1","٤۷۷٤","ح و و","4774","U U J","3400"
"1","١٢٢٥","أ ح ب","1225","B J A","5200"
"1","۸۰۸۸","ر ق ر","8088","R G R","3500"
"0","٤","و ح ك","4","K J U","50000"
"0","۳","ع م و","3","U Z E","120000"
"0","٢","د ل ر","2","R L D","120000"
"0","٥٥","أ ح أ","55","A J A","30000"
"0","۷۷","ل و أ","77","A U L","160000"
"0","٥٥٥","ه د د","555","D D H","45000"
"0","۸۸۸","م ي ط","888","T V Z","24000"
"0","۷۷۷۷","ر ل ط","7777","T L R","24000"
"0","١٥","س ن ر","15","R N S","35000"
"0","۸۳","م ن ه","83","H N Z","13500"
"0","١۸","ه ق ط","18","T G H","15000"
"0","۸۰۰","ي أ ق","800","G A V","8000"
"0","١۰٤","ر ع ب","104","B E R","30000"
"0","١۰١","ي ب ع","101","E B V","10000"
"0","۸٤۹","ق ص ه","849","H X G","8000"
"0","٦٤۰","أ ح ب","640","B J A","25000"
"0","۷١۷","س أ د","717","D A S","17000"
"0","١٥٢","ن ي و","152","U V N","5000"
"0","٤١٤٤","أ أ أ","4144","A A A","20000"
"0","١٥٥٢","ح ل أ","1552","A L J","5000"
"0","٤۳٢١","ب ي م","4321","Z V B","25000"
"0","۷۰٢٥","د ن ه","7025","H N D","1500"
"0","٤٤٦۳","ر س ط","4463","T S R","1000"
"0","۳۰۰۳","أ ي و","3003","U V A","4000"
"0","١۷۸٥","ر ك ن","1785","N K R","1000"
"0","۷٢١٢","ر ه ق","7212","G H R","1000"
"0","۹۷۹۹","ر ر ق","9799","G R R","2800"
"0","١٥١٥","ر ن د","1515","D N R","16500"
"0","۸۹۸۸","ب أ ي","8988","V A B","4500"
"0","٥۸٦٢","ر ق د","5862","D G R","1000"
