,Arabic Letters,English Numbers,Price
4,ﻝﻭﻝ,708,23000
5,ﻕﻡﺭ,540,32000
6,ﻡﻯﻯ,47,30000
7,ﻥﻥﻥ,408,35000
8,ﺡﻡﺭ,35,35000
9,ﺏﺱﻫ,122,12000
10,ﺩﻝﻭ,2,120000
13,ﺍﺡﺱ,9400,2500
14,ﻭﺩﺭ,1,370000
15,ﺍﺏﻉ,9888,9000
19,ﻡﻝﻙ,462,23000
20,ﺭﻥﺩ,9112,2000
22,ﺹﻥﻭ,33,22000
23,ﻝﻫﻕ,22,24000
24,ﻕﻡﺭ,406,28000
27,ﺡﻡﻡ,74,12300
31,ﻕﺡﻁ,980,23000
35,ﻁﻝﻁ,97,16000
36,ﻡﻭﻥ,113,18000
37,ﻫﻯﻡ,290,15000
38,ﻕﻫﺏ,7,60000
41,ﺭﻕﺱ,17,10500
43,ﺭﻡﺱ,8888,37000
44,ﺍﻫﻡ,97,20000
46,ﺹﺡﺭ,666,55000
48,ﻝﻕﺩ,6,90000
49,ﺹﻕﻝ,88,30000
50,ﺭﻥﻉ,9870,1500
52,ﻉﻝﻡ,21,30000
53,ﺹﺹﺩ,2025,25000
56,ﺩﺡﻯ,2424,10000
60,ﻯﺱﺹ,676,5500
61,ﻙﻫﺱ,9,70000
67,ﻥﻭﺡ,272,30000
69,ﺭﺡﺍ,4052,5000
70,ﺡﻫﻙ,3070,5500
71,ﺍﺏﺭ,86,20000
74,ﺭﻥﻕ,404,20000
75,ﻡﻙﻫ,342,14000
76,ﻡﻙﻫ,519,15000
77,ﻡﻙﻫ,998,40000
78,ﺩﺩﺹ,27,15000
81,ﻫﻫﻕ,37,16500
85,ﺱﺍﻯ,1,500000
87,ﻕﻡﺍ,95,30000
91,ﻡﻝﺡ,472,11500
92,ﺹﻥﻕ,15,23
94,ﺍﻁﻁ,2200,20000
95,ﻕﻭﺱ,757,20000
99,ﺍﻡﻡ,1515,15000
101,ﺍﺹﻡ,8555,4000
106,ﻥﻡﻯ,1,750000
108,ﺡﺹﺹ,404,25000
110,ﻫﻫﻉ,200,18000
113,ﺡﻕﻉ,2001,2000
123,ﺹﻥﺩ,777,30000
124,ﻕﺩﻫ,98,12000
129,ﻭﻫﺏ,575,35000
130,ﻉﻝﻫ,1,350000
131,ﺏﻯﻯ,7,145000
132,ﺭﺏﻉ,4,100000
142,ﺩﺏﻙ,10,20000
144,ﻕﻡﺭ,436,26000
150,ﻫﻭﻥ,21,30000
151,ﻡﻙﺱ,422,10000
152,ﺍﻭﻙ,7557,12000
153,ﻯﻝﺍ,50,45000
155,ﻕﻕﻉ,90,25000
157,ﻡﻙﺡ,333,15000
159,ﻙﻭﻯ,447,19000
160,ﻉﻯﻯ,330,14000
162,ﻭﺹﺡ,119,20000
164,ﺏﻯﻡ,4,500000
168,ﻭﺍﺍ,58,29000
169,ﻝﺱﺩ,222,30000
176,ﻙﺭﻡ,522,20500
180,ﻫﻡﺱ,906,50000
181,ﻁﻝﻭ,21,50000
189,ﻕﺍﺍ,100,21000
190,ﻕﻡﺭ,611,45000
193,ﺩﻁﺏ,5115,2400
200,ﺍﻉﻯ,5,150000
207,ﻫﻯﻁ,884,7999
213,ﺡﻭﺭ,5530,3500
217,ﺡﻭﺭ,7274,10500
221,ﻫﺏﻫ,953,15000
222,ﺏﻥﻫ,5,140000
224,ﻭﺩﻥ,10,40000
225,ﺹﺡﺡ,441,11
227,ﻡﻙﻕ,455,3500
228,ﺡﻭﺭ,7569,10000
229,ﻫﻥﻡ,577,8000
230,ﺭﻙﺭ,7799,7500
231,ﻯﻉﻝ,939,7000
233,ﺡﻙﻭ,1,490000
234,ﻯﻁﻯ,2,150000
235,ﻉﻉﻉ,601,17000
244,ﺹﻯﻕ,464,4000
249,ﻫﻥﻭ,477,45000
250,ﻫﻁﻯ,43,12000
253,ﺩﻁﻫ,2323,4500
260,ﺏﺏﻕ,8885,7000
261,ﻡﻕﻫ,777,25000
265,ﻉﻫﺩ,808,25000
272,ﺡﻕﻕ,9999,30000
273,ﻉﻭﻕ,4,75000
279,ﺩﺍﻯ,1,550000
283,ﻡﻁﻝ,4,80000
284,ﻡﺩﺱ,24,12500
289,ﺱﻁﺱ,72,12
291,ﺏﺱﺹ,4444,70000
293,ﺏﻭﺡ,80,80000
297,ﻫﻝﻉ,13,15500
299,ﻫﺍﺱ,46,30000
300,ﺱﻉﺩ,2522,20000
301,ﻫﻯﻡ,703,11000
304,ﻭﻯﺱ,242,4000
306,ﻥﻁﻯ,6,110000
307,ﻡﻡﺏ,3,170000
309,ﻥﺩﺍ,166,15000
311,ﺏﻥﻙ,7500,5000
324,ﺡﻝﺭ,3,25000
328,ﻙﺱﻡ,3,120000
336,ﻙﺹﻁ,706,5000
337,ﺱﻙﺭ,717,28
341,ﻡﻝﻙ,842,30000
342,ﺱﻉﺩ,3883,25000
343,ﺡﺭﺏ,7757,15000
345,ﻫﻁﺱ,97,20000
348,ﻉﻉﻉ,801,32000
349,ﻕﻁﺭ,544,23000
350,ﺡﺏﻭ,10,59000
354,ﻥﺡﻉ,141,5000
362,ﺍﺡﺍ,642,4800
363,ﺩﺩﺩ,2228,30000
367,ﻭﺭﺍ,83,15000
375,ﻫﺱﻯ,730,15000
383,ﻡﻉﻙ,2,500000
384,ﺍﻡﻥ,7006,6000
385,ﺡﻯﺏ,77,37000
391,ﺭﻯﻡ,863,20000
394,ﻭﺭﺩ,25,55000
397,ﻡﺡﺏ,887,15000
398,ﺡﻝﻕ,7878,12000
404,ﺍﻭﻉ,7774,5000
410,ﺹﻯﻫ,24,30000
412,ﺍﻝﺭ,2222,25000
413,ﻯﻭﻯ,727,13500
416,ﺭﺏﻯ,7703,500000
418,ﺏﺏﺏ,2480,9000
421,ﻕﻕﻙ,1,700000
429,ﻯﻥﻫ,80,18000
434,ﻙﺍﺩ,800,8500
441,ﻙﻙﻙ,906,95000
442,ﺍﺱﺩ,1417,10000
444,ﻕﺡﻭ,507,14000
445,ﺡﺏﻭ,1551,8500
446,ﺭﻁﺏ,1115,13000
447,ﺩﻭﺍ,1118,13000
450,ﺩﺩﺩ,3026,5590
454,ﺏﻉﺩ,1111,36000
455,ﺱﻙﺭ,9,1000000
456,ﻫﻫﻝ,3,190000
477,ﻯﻥﺩ,5,130000
485,ﺩﻝﻉ,799,20000
489,ﺱﻥﻥ,30,35000
490,ﺡﻝﻡ,919,18000
494,ﻉﺱﻫ,505,25000
495,ﻁﺡﻯ,33,32000
496,ﻫﻭﺩ,770,12000
498,ﻭﻯﺩ,2,150000
504,ﺡﻕﺩ,79,17000
505,ﻥﻝﺹ,3,150000
506,ﺱﺡﺭ,168,20000
508,ﻙﻡﺡ,222,29000
509,ﻫﺭﻯ,11,48000
512,ﻯﻡﺭ,75,40000
525,ﺹﻙﻝ,5,87000
529,ﺍﻫﺩ,7770,5000
533,ﻥﻥﻯ,13,18000
535,ﺩﻁﺏ,8,79000
537,ﺡﻫﺹ,66,15000
540,ﺡﺭﺏ,42,70000
546,ﻭﻉﻭ,58,15500
547,ﺩﻡﺏ,47,11000
548,ﻕﻫﺏ,444,25000
549,ﺡﻥﻉ,50,18000
557,ﻭﺹﺡ,711,12000
577,ﻫﻥﻭ,155,25000
586,ﻫﺩﻫ,800,14000
599,ﻭﺡﻫ,666,80000
600,ﻙﺭﻫ,2,200000
601,ﺭﻉﺏ,8646,1400
603,ﺍﺱﺩ,496,25000
608,ﺡﺱﺩ,27,35000
609,ﻙﺭﺭ,9,150000
611,ﻫﻫﺭ,30,60000
612,ﻉﻕﻡ,2,160000
613,ﻉﺩﻥ,178,15000
615,ﺩﻕﻯ,7,100000
617,ﺡﺱﻁ,5606,3000
618,ﻭﺱﺏ,50,25000
631,ﺡﺱﻥ,4762,45000
646,ﻥﻥﺱ,60,25000
654,ﻡﻙﻫ,10,1100000
661,ﺭﻉﺏ,3000,60000
670,ﺡﺭﺩ,999,35000
672,ﺡﻁﺡ,8228,8000
691,ﻥﻙﻫ,11,300000
695,ﻯﺡﻉ,9,88000
701,ﻥﺡﺡ,98,25000
702,ﺍﺍﻡ,3333,15000
715,ﻭﺍﺍ,2,500000
720,ﺡﻉﺡ,7,120000
721,ﻭﻭﺍ,51,18000
722,ﻁﻝﻭ,404,15000
735,ﺱﺱﻥ,444,30000
745,ﻁﺩﻫ,77,35000
753,ﻭﺩﻙ,533,7000
754,ﻙﻙﺡ,43,15000
757,ﻝﻡﺱ,46,14000
760,ﺏﺭﻕ,3372,10000
761,ﻯﻝﺱ,68,15000
762,ﻝﺡﻫ,60,18000
768,ﺩﺍﺩ,24,30000
789,ﻫﻫﻯ,86,30000
792,ﻫﻙﻡ,333,35000
804,ﺩﻥﻯ,4040,5000
811,ﺏﻉﺹ,5000,20000
814,ﻙﻭﻝ,740,50000
816,ﻯﺏﺏ,8,120000
818,ﺏﺩﻝ,89,31000
819,ﺏﺱﻡ,2644,3000
821,ﺍﻭﻝ,103,6000
826,ﻁﺩﻁ,444,29000
828,ﻫﻥﻡ,9,155000
831,ﻥﻡﻫ,503,50000
833,ﺡﺍﺭ,29,45000
839,ﻝﻡﺹ,11,70000
847,ﺩﻡﻡ,19,20000
851,ﺍﺹﻡ,5115,33000
