char_ar,char_en,char1_ar,char2_ar,char3_ar,char1_en,char2_en,char3_en,plate_no,price
ل و ل,L U L,ل,و,ل,L,U,L,708,23000
ق م ر,R Z G,ق,م,ر,G,Z,R,540,32000
م ى ى,V V Z,م,ى,ى,Z,V,V,47,30000
ن ن ن,N N N,ن,ن,ن,N,N,N,408,35000
ح م ر,R Z J,ح,م,ر,J,Z,R,35,35000
ب س ه,H S B,ب,س,ه,B,S,H,122,12000
د ل و,U L D,د,ل,و,D,L,U,2,120000
ا ح س,S J A,ا,ح,س,A,J,S,9400,2500
و د ر,R D U,و,د,ر,U,D,R,1,370000
ا ب ع,E B A,ا,ب,ع,A,B,E,9888,9000
م ل ك,K L Z,م,ل,ك,Z,L,K,462,23000
ر ن د,D N R,ر,ن,د,R,N,D,9112,2000
ص ن و,U N X,ص,ن,و,X,N,U,33,22000
ل ه ق,G H L,ل,ه,ق,L,H,G,22,24000
ق م ر,R Z G,ق,م,ر,G,Z,R,406,28000
ح م م,Z Z J,ح,م,م,J,Z,Z,74,12300
ق ح ط,T J G,ق,ح,ط,G,J,T,980,23000
ط ل ط,T L T,ط,ل,ط,T,L,T,97,16000
م و ن,N U Z,م,و,ن,Z,U,N,113,18000
ه ى م,Z V H,ه,ى,م,H,V,Z,290,15000
ق ه ب,B H G,ق,ه,ب,G,H,B,7,60000
ر ق س,S G R,ر,ق,س,R,G,S,17,10500
ر م س,S Z R,ر,م,س,R,Z,S,8888,37000
ا ه م,Z H A,ا,ه,م,A,H,Z,97,20000
ص ح ر,R J X,ص,ح,ر,X,J,R,666,55000
ل ق د,D G L,ل,ق,د,L,G,D,6,90000
ص ق ل,L G X,ص,ق,ل,X,G,L,88,30000
ر ن ع,E N R,ر,ن,ع,R,N,E,9870,1500
ع ل م,Z L E,ع,ل,م,E,L,Z,21,30000
ص ص د,D X X,ص,ص,د,X,X,D,2025,25000
د ح ى,V J D,د,ح,ى,D,J,V,2424,10000
ى س ص,X S V,ى,س,ص,V,S,X,676,5500
ك ه س,S H K,ك,ه,س,K,H,S,9,70000
ن و ح,J U N,ن,و,ح,N,U,J,272,30000
ر ح ا,A J R,ر,ح,ا,R,J,A,4052,5000
ح ه ك,K H J,ح,ه,ك,J,H,K,3070,5500
ا ب ر,R B A,ا,ب,ر,A,B,R,86,20000
ر ن ق,G N R,ر,ن,ق,R,N,G,404,20000
م ك ه,H K Z,م,ك,ه,Z,K,H,342,14000
م ك ه,H K Z,م,ك,ه,Z,K,H,519,15000
م ك ه,H K Z,م,ك,ه,Z,K,H,998,40000
د د ص,X D D,د,د,ص,D,D,X,27,15000
ه ه ق,G H H,ه,ه,ق,H,H,G,37,16500
س ا ى,V A S,س,ا,ى,S,A,V,1,500000
ق م ا,A Z G,ق,م,ا,G,Z,A,95,30000
م ل ح,J L Z,م,ل,ح,Z,L,J,472,11500
ص ن ق,G N X,ص,ن,ق,X,N,G,15,23
ا ط ط,T T A,ا,ط,ط,A,T,T,2200,20000
ق و س,S U G,ق,و,س,G,U,S,757,20000
ا م م,Z Z A,ا,م,م,A,Z,Z,1515,15000
ا ص م,Z X A,ا,ص,م,A,X,Z,8555,4000
ن م ى,V Z N,ن,م,ى,N,Z,V,1,750000
ح ص ص,X X J,ح,ص,ص,J,X,X,404,25000
ه ه ع,E H H,ه,ه,ع,H,H,E,200,18000
ح ق ع,E G J,ح,ق,ع,J,G,E,2001,2000
ص ن د,D N X,ص,ن,د,X,N,D,777,30000
ق د ه,H D G,ق,د,ه,G,D,H,98,12000
و ه ب,B H U,و,ه,ب,U,H,B,575,35000
ع ل ه,H L E,ع,ل,ه,E,L,H,1,350000
ب ى ى,V V B,ب,ى,ى,B,V,V,7,145000
ر ب ع,E B R,ر,ب,ع,R,B,E,4,100000
د ب ك,K B D,د,ب,ك,D,B,K,10,20000
ق م ر,R Z G,ق,م,ر,G,Z,R,436,26000
ه و ن,N U H,ه,و,ن,H,U,N,21,30000
م ك س,S K Z,م,ك,س,Z,K,S,422,10000
ا و ك,K U A,ا,و,ك,A,U,K,7557,12000
ى ل ا,A L V,ى,ل,ا,V,L,A,50,45000
ق ق ع,E G G,ق,ق,ع,G,G,E,90,25000
م ك ح,J K Z,م,ك,ح,Z,K,J,333,15000
ك و ى,V U K,ك,و,ى,K,U,V,447,19000
ع ى ى,V V E,ع,ى,ى,E,V,V,330,14000
و ص ح,J X U,و,ص,ح,U,X,J,119,20000
ب ى م,Z V B,ب,ى,م,B,V,Z,4,500000
و ا ا,A A U,و,ا,ا,U,A,A,58,29000
ل س د,D S L,ل,س,د,L,S,D,222,30000
ك ر م,Z R K,ك,ر,م,K,R,Z,522,20500
ه م س,S Z H,ه,م,س,H,Z,S,906,50000
ط ل و,U L T,ط,ل,و,T,L,U,21,50000
ق ا ا,A A G,ق,ا,ا,G,A,A,100,21000
ق م ر,R Z G,ق,م,ر,G,Z,R,611,45000
د ط ب,B T D,د,ط,ب,D,T,B,5115,2400
ا ع ى,V E A,ا,ع,ى,A,E,V,5,150000
ه ى ط,T V H,ه,ى,ط,H,V,T,884,7999
ح و ر,R U J,ح,و,ر,J,U,R,5530,3500
ح و ر,R U J,ح,و,ر,J,U,R,7274,10500
ه ب ه,H B H,ه,ب,ه,H,B,H,953,15000
ب ن ه,H N B,ب,ن,ه,B,N,H,5,140000
و د ن,N D U,و,د,ن,U,D,N,10,40000
ص ح ح,J J X,ص,ح,ح,X,J,J,441,11
م ك ق,G K Z,م,ك,ق,Z,K,G,455,3500
ح و ر,R U J,ح,و,ر,J,U,R,7569,10000
ه ن م,Z N H,ه,ن,م,H,N,Z,577,8000
ر ك ر,R K R,ر,ك,ر,R,K,R,7799,7500
ى ع ل,L E V,ى,ع,ل,V,E,L,939,7000
ح ك و,U K J,ح,ك,و,J,K,U,1,490000
ى ط ى,V T V,ى,ط,ى,V,T,V,2,150000
ع ع ع,E E E,ع,ع,ع,E,E,E,601,17000
ص ى ق,G V X,ص,ى,ق,X,V,G,464,4000
ه ن و,U N H,ه,ن,و,H,N,U,477,45000
ه ط ى,V T H,ه,ط,ى,H,T,V,43,12000
د ط ه,H T D,د,ط,ه,D,T,H,2323,4500
ب ب ق,G B B,ب,ب,ق,B,B,G,8885,7000
م ق ه,H G Z,م,ق,ه,Z,G,H,777,25000
ع ه د,D H E,ع,ه,د,E,H,D,808,25000
ح ق ق,G G J,ح,ق,ق,J,G,G,9999,30000
ع و ق,G U E,ع,و,ق,E,U,G,4,75000
د ا ى,V A D,د,ا,ى,D,A,V,1,550000
م ط ل,L T Z,م,ط,ل,Z,T,L,4,80000
م د س,S D Z,م,د,س,Z,D,S,24,12500
س ط س,S T S,س,ط,س,S,T,S,72,12
ب س ص,X S B,ب,س,ص,B,S,X,4444,70000
ب و ح,J U B,ب,و,ح,B,U,J,80,80000
ه ل ع,E L H,ه,ل,ع,H,L,E,13,15500
ه ا س,S A H,ه,ا,س,H,A,S,46,30000
س ع د,D E S,س,ع,د,S,E,D,2522,20000
ه ى م,Z V H,ه,ى,م,H,V,Z,703,11000
و ى س,S V U,و,ى,س,U,V,S,242,4000
ن ط ى,V T N,ن,ط,ى,N,T,V,6,110000
م م ب,B Z Z,م,م,ب,Z,Z,B,3,170000
ن د ا,A D N,ن,د,ا,N,D,A,166,15000
ب ن ك,K N B,ب,ن,ك,B,N,K,7500,5000
ح ل ر,R L J,ح,ل,ر,J,L,R,3,25000
ك س م,Z S K,ك,س,م,K,S,Z,3,120000
ك ص ط,T X K,ك,ص,ط,K,X,T,706,5000
س ك ر,R K S,س,ك,ر,S,K,R,717,28
م ل ك,K L Z,م,ل,ك,Z,L,K,842,30000
س ع د,D E S,س,ع,د,S,E,D,3883,25000
ح ر ب,B R J,ح,ر,ب,J,R,B,7757,15000
ه ط س,S T H,ه,ط,س,H,T,S,97,20000
ع ع ع,E E E,ع,ع,ع,E,E,E,801,32000
